Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Genres,Original Release Date,Current Version Release Date
Sudoku,4.0,3553.0,2.99,"(0.0,)",Mighty Mighty Good Games,4+,"('DA', 'NL', 'EN', 'FI', 'FR', 'DE', 'IT', 'JA', 'KO', 'NB', 'PL', 'PT', 'RU', 'ZH', 'ES', 'SV', 'ZH')",15853568.0,"('Games', 'Strategy', 'Puzzle')",2008-11-07,2017-05-30
Reversi,3.5,284.0,1.99,"(0.0,)",Kiss The Machine,4+,"('EN',)",12328960.0,"('Games', 'Strategy', 'Board')",2008-11-07,2018-05-17
Morocco,3.0,8376.0,0.0,"(0.0,)",Bayou Games,4+,"('EN',)",674816.0,"('Games', 'Board', 'Strategy')",2008-11-07,2017-05-09
Sudoku (Free),3.5,190394.0,0.0,"(0.0,)",Mighty Mighty Good Games,4+,"('DA', 'NL', 'EN', 'FI', 'FR', 'DE', 'IT', 'JA', 'KO', 'NB', 'PL', 'PT', 'RU', 'ZH', 'ES', 'SV', 'ZH')",21552128.0,"('Games', 'Strategy', 'Puzzle')",2008-07-23,2017-05-30
Senet Deluxe,3.5,28.0,2.99,"(0.0,)",RoGame Software,4+,"('DA', 'NL', 'EN', 'FR', 'DE', 'EL', 'IT', 'JA', 'KO', 'NO', 'PT', 'RU', 'ZH', 'ES', 'SV')",34689024.0,"('Games', 'Strategy', 'Board', 'Education')",2008-07-18,2018-07-22
Sudoku - Classic number puzzle,3.0,47.0,0.0,"(1.99,)",OutOfTheBit Ltd,4+,"('EN',)",48672768.0,"('Games', 'Entertainment', 'Strategy', 'Puzzle')",2008-07-30,2019-04-29
Gravitation,2.5,35.0,0.0,"(0.0,)",Robert Farnum,4+,"('EN',)",6328320.0,"('Games', 'Entertainment', 'Puzzle', 'Strategy')",2008-07-30,2013-11-14
Colony,2.5,125.0,0.99,"(0.0,)",Chris Haynes,4+,"('EN',)",64333824.0,"('Games', 'Strategy', 'Board')",2008-03-08,2018-03-10
Carte,2.5,44.0,0.0,"(0.0,)",Jean-Francois Pautex,4+,"('FR',)",2657280.0,"('Games', 'Strategy', 'Board', 'Entertainment')",2008-03-08,2017-11-23
"""Barrels O' Fun""",2.5,184.0,0.0,"(0.0,)",BesqWare,4+,"('EN',)",1466515.0,"('Games', 'Casual', 'Strategy')",2008-01-08,2008-01-08
Quaddraxx,0.0,0.0,0.0,"(0.0,)",H2F Informationssysteme GmbH,4+,"('EN',)",3089867.0,"('Games', 'Entertainment', 'Strategy', 'Puzzle')",2008-11-08,2008-09-30
Lumen Lite,3.5,5072.0,0.0,"(0.0,)",Bridger Maxwell,4+,"('EN',)",7086403.0,"('Games', 'Puzzle', 'Strategy')",2008-08-18,2008-11-22
BubblePop,3.0,526.0,0.0,"(0.0,)",TMSOFT,4+,"('EN',)",845008.0,"('Games', 'Strategy', 'Entertainment')",2008-08-22,2009-07-25
Marple,3.5,989.0,0.99,"(0.0,)",Mikko Kankainen,4+,"('EN',)",3643392.0,"('Games', 'Puzzle', 'Strategy')",2008-08-28,2019-05-05
Tetravex Lite,2.5,2358.0,0.0,"(0.0,)",Futrell Software,4+,"('EN',)",731525.0,"('Games', 'Puzzle', 'Strategy', 'Entertainment')",2008-08-27,2008-10-21
Awele/Oware - Mancala HD,3.0,112.0,0.0,"(0.99,)",SOLILAB,4+,"('EN', 'FR', 'DE', 'IT', 'ES')",122826752.0,"('Games', 'Strategy', 'Board')",2008-08-31,2015-06-04
Awele/Oware - Mancala HD,3.0,112.0,0.0,"(0.99,)",SOLILAB,4+,"('EN', 'FR', 'DE', 'IT', 'ES')",122826752.0,"('Games', 'Strategy', 'Board')",2008-08-31,2015-06-04
Chess Game,3.0,504.0,0.0,"(0.0,)",Memention Holding AB,4+,"('EN',)",444163.0,"('Games', 'Board', 'Strategy')",2008-02-09,2009-07-10
Catcha Mouse,3.5,95971.0,0.0,"(1.99, 0.99, 1.99, 0.99, 4.99, 1.99, 1.99)","Meme, Inc",4+,"('EN',)",26820692.0,"('Games', 'Puzzle', 'Strategy')",2009-02-19,2013-04-26
"Cool Sudoku, Jigsaw, Killer",3.5,357.0,0.0,"(0.99, 0.99, 0.99)",Splash Software Ltd.,4+,"('EN',)",52236288.0,"('Games', 'Strategy', 'Puzzle', 'Entertainment')",2008-09-24,2019-04-26
