id,merchant_id,customer_id,coupon_id,bill_amount,ts
1,75,292,80,3300,2017-12-20 07:22:32
2,93,1094,21,600,2017-04-24 11:40:38
3,143,813,324,2300,2019-03-01 15:04:10
4,132,9,84,300,2017-08-08 15:40:33
5,12,115,33,1000,2017-12-07 16:28:14
6,13,128,157,2700,2018-10-06 11:54:45
7,97,1078,313,3300,2019-01-28 08:48:39
8,71,394,8,300,2018-10-05 12:29:27
9,142,1077,33,2700,2018-01-02 20:13:52
10,83,1295,157,500,2018-11-30 23:30:01
11,172,1154,178,400,2018-12-01 09:28:07
12,119,116,235,2700,2018-12-16 12:08:44
13,97,360,391,1900,2017-07-25 11:39:16
14,5,228,49,4600,2017-12-26 08:59:24
15,98,347,127,4500,2018-12-13 20:15:41
16,92,119,262,4300,2017-07-11 08:37:43
17,1,383,302,1200,2018-09-09 18:37:59
18,97,1382,274,1200,2018-08-31 10:08:19
19,103,1175,188,4700,2018-08-08 15:25:45
20,183,1086,357,200,2017-10-30 04:41:13
21,19,1056,259,4000,2018-06-05 10:39:21
22,171,1001,140,3400,2018-12-19 12:38:46
23,53,1009,29,2900,2018-06-01 08:07:20
24,78,379,265,3700,2018-07-04 02:53:32
25,23,633,287,200,2018-03-27 23:09:14
26,75,46,318,3900,2017-09-12 13:44:20
27,115,387,164,4400,2018-02-23 13:18:43
28,190,1138,84,3700,2018-01-04 16:38:42
29,121,311,28,1700,2018-12-05 14:24:25
30,71,1184,220,1600,2018-10-27 02:09:28
31,101,1075,323,2700,2017-12-17 09:31:26
32,109,283,341,5000,2018-12-03 22:13:47
33,177,988,313,1600,2017-09-17 05:05:45
34,190,1190,382,3800,2018-03-15 05:22:40
35,178,1113,376,1200,2017-07-10 07:52:46
36,99,1214,96,1800,2018-01-03 23:31:46
37,61,1394,34,500,2017-04-22 09:22:01
38,94,800,128,1900,2017-10-19 00:54:56
39,118,1289,240,700,2018-04-17 03:15:49
40,173,749,389,2000,2018-08-05 06:39:20
41,195,702,88,2300,2017-10-19 13:30:19
42,74,688,354,4800,2018-03-08 04:45:33
43,141,122,261,2900,2017-11-11 10:25:14
44,192,1106,324,3100,2018-06-19 20:17:08
45,129,564,366,3300,2017-07-15 12:49:40
46,189,424,341,2700,2018-02-22 04:57:59
47,14,316,170,400,2019-01-09 00:05:47
48,101,702,375,4600,2018-07-08 20:37:02
49,130,395,91,2600,2017-08-27 19:03:32
50,93,100,282,1500,2018-10-05 10:56:08
51,106,1158,264,4000,2017-06-08 06:30:00
52,15,537,350,1000,2017-06-02 06:21:45
53,84,46,394,4100,2018-11-17 14:26:57
54,55,513,269,3200,2017-12-13 17:45:11
55,35,945,88,1100,2018-11-05 01:32:55
56,33,946,121,4900,2018-08-26 03:23:18
57,184,287,247,4100,2017-05-14 13:31:22
58,157,1212,343,4400,2018-11-11 12:57:05
59,192,1118,70,2600,2018-01-02 10:50:32
60,119,1026,338,2500,2018-06-04 06:17:16
61,38,1041,366,2500,2018-04-14 17:25:37
62,117,387,377,4600,2018-10-12 09:00:46
63,18,878,300,1500,2018-01-25 08:11:27
64,166,505,288,900,2017-11-03 00:16:57
65,1,1212,139,4000,2017-07-26 17:22:23
66,121,933,107,3100,2018-08-15 20:10:03
67,19,530,232,1300,2017-12-21 23:36:13
68,63,498,46,3700,2018-04-12 20:10:15
69,32,846,13,3200,2017-11-23 21:34:04
70,68,518,247,4700,2017-07-20 17:48:45
71,29,1309,197,1000,2017-08-03 23:55:12
72,49,145,92,700,2017-06-30 11:05:35
73,97,245,382,4000,2017-09-05 08:02:32
74,130,772,233,3500,2018-04-15 20:44:10
75,159,1351,142,2900,2018-08-15 15:54:20
76,105,34,41,3800,2017-06-19 20:11:00
77,32,799,133,4300,2019-01-07 06:34:11
78,158,973,367,400,2017-07-15 05:21:44
79,183,787,52,4900,2017-10-09 09:36:32
80,100,1353,151,3800,2017-11-10 03:38:46
81,80,1314,380,1300,2018-10-29 23:12:01
82,158,736,178,400,2017-07-28 19:18:03
83,118,399,166,3500,2018-09-18 22:25:10
84,11,314,133,1300,2018-03-02 00:09:13
85,72,327,172,4400,2018-01-22 17:04:04
86,91,13,276,1500,2018-06-27 03:24:15
87,10,833,172,200,2017-04-15 06:28:09
88,102,368,19,2700,2017-10-04 21:02:46
89,152,819,82,1100,2017-11-27 09:26:57
90,87,184,307,3200,2018-07-10 01:54:06
91,123,550,397,2700,2018-11-17 14:14:27
92,57,30,329,4400,2019-03-17 07:10:16
93,118,511,133,1800,2017-06-17 13:29:40
94,99,1436,218,2200,2017-10-24 17:02:58
95,61,1049,349,2600,2017-04-06 07:51:29
96,44,1109,263,2300,2018-11-14 15:18:32
97,119,927,71,400,2017-06-08 15:26:55
98,58,1391,354,3100,2018-01-20 00:16:31
99,20,1336,118,2800,2018-07-15 15:41:16
100,168,1231,271,4600,2018-05-25 09:52:53
101,199,178,303,700,2019-02-23 00:25:25
102,73,1114,125,800,2017-05-06 00:44:52
103,164,377,229,1600,2017-09-20 08:38:41
104,10,980,190,3200,2018-08-20 22:46:11
105,87,502,73,1600,2017-10-02 13:35:56
106,3,896,94,2400,2017-05-05 06:22:38
107,185,249,215,2800,2018-06-22 09:19:35
108,100,1095,285,3900,2019-02-09 14:24:22
109,143,662,131,700,2017-07-06 17:10:06
110,174,659,176,200,2018-12-19 08:13:36
111,88,217,141,4400,2017-11-07 11:05:20
112,93,713,244,4500,2019-01-21 20:12:02
113,76,1108,375,4500,2018-12-06 15:59:15
114,179,1070,168,3400,2018-05-12 13:27:24
115,18,705,109,1200,2017-06-14 11:10:00
116,80,451,42,600,2017-04-15 17:05:23
117,49,927,115,4600,2018-03-24 02:39:12
118,152,76,107,4200,2018-07-20 05:45:50
119,181,254,116,3800,2018-05-30 14:36:52
120,103,477,82,3500,2018-11-18 11:51:18
121,37,711,154,1400,2018-10-25 07:40:03
122,141,1216,114,2400,2017-11-01 07:31:29
123,74,1260,27,4900,2019-01-02 13:18:01
124,20,794,4,1600,2018-03-25 19:39:19
125,195,309,224,3300,2017-07-11 21:17:53
126,50,264,300,2900,2018-11-26 22:06:58
127,13,530,68,100,2017-11-15 17:50:07
128,167,1227,77,2800,2018-06-12 06:02:30
129,188,1389,210,2400,2017-06-08 06:50:57
130,18,522,101,2000,2019-01-16 11:20:05
131,63,1464,351,1200,2018-06-25 18:28:11
132,43,44,194,3000,2019-01-16 19:10:24
133,172,1171,326,500,2018-05-18 21:02:03
134,38,306,12,2000,2017-07-29 05:06:21
135,131,105,399,3900,2018-06-05 18:12:27
136,53,146,48,2600,2017-08-12 13:43:49
137,5,24,359,1600,2017-10-25 03:43:12
138,60,1323,272,3300,2019-02-17 10:51:43
139,173,767,235,700,2019-01-28 03:05:00
140,92,1276,86,2200,2017-06-30 01:22:04
141,186,1122,160,3200,2018-09-01 06:28:25
142,5,1067,67,1100,2017-08-09 09:21:20
143,45,105,30,2200,2019-02-23 08:34:28
144,150,884,340,3300,2017-08-13 15:58:21
145,66,1219,292,3400,2018-12-24 11:29:28
146,51,1063,225,900,2018-05-09 01:11:00
147,25,662,212,1700,2017-12-20 02:31:55
148,43,149,273,500,2018-05-05 12:59:01
149,63,939,373,3700,2018-03-17 19:56:43
150,121,715,285,800,2017-12-12 20:51:01
151,154,378,230,2800,2018-03-25 06:11:42
152,32,531,102,1200,2017-10-08 18:51:32
153,88,810,169,2600,2018-06-12 13:20:46
154,91,938,209,2100,2018-03-29 03:24:14
155,148,185,105,4000,2017-11-08 12:42:52
156,116,1225,393,500,2017-10-19 20:02:10
157,99,892,162,2900,2017-05-02 18:04:56
158,121,1343,110,2700,2018-05-30 01:25:07
159,195,72,256,1600,2018-02-21 10:42:08
160,5,1154,373,2700,2019-02-07 11:36:45
161,33,922,169,4200,2017-12-05 08:55:53
162,44,382,178,400,2017-11-09 14:33:04
163,3,823,5,3800,2018-02-17 16:38:05
164,176,372,273,2700,2018-11-16 03:24:45
165,45,642,41,1500,2018-06-28 19:48:11
166,188,125,7,4900,2017-08-13 15:31:51
167,35,939,230,2000,2018-04-30 11:19:56
168,50,619,86,2300,2017-06-09 12:55:35
169,175,1382,202,3300,2018-09-28 20:20:01
170,123,1209,168,1600,2019-03-08 22:20:55
171,20,1088,315,1200,2017-10-19 12:52:09
172,170,368,159,4500,2019-03-19 07:38:17
173,59,510,257,3900,2017-06-22 21:30:47
174,110,375,93,2300,2019-02-11 07:02:26
175,151,80,55,300,2017-09-01 16:54:07
176,31,120,320,4900,2018-10-10 11:57:31
177,102,149,272,3500,2018-09-24 10:57:02
178,193,967,359,500,2019-03-30 13:19:21
179,100,266,154,3200,2018-12-02 16:28:23
180,76,1481,239,2800,2017-11-07 14:45:43
181,146,122,178,2000,2017-06-21 11:39:24
182,175,1198,13,2500,2018-08-06 06:44:17
183,157,1309,336,2300,2017-12-26 16:22:16
184,43,682,108,300,2018-04-16 01:52:27
185,197,471,42,2500,2018-03-22 21:25:42
186,184,552,176,600,2018-08-04 11:27:41
187,58,488,299,2700,2017-11-13 11:25:18
188,108,553,332,3300,2018-06-19 17:41:25
189,168,234,222,2600,2018-05-19 01:23:47
190,78,337,151,2200,2017-04-20 16:16:29
191,33,1384,399,3800,2018-11-16 07:44:15
192,26,991,37,3600,2018-06-07 05:23:41
193,61,134,244,2900,2018-06-05 01:49:46
194,152,1108,320,1200,2017-12-15 06:50:58
195,164,901,122,3100,2018-03-07 15:01:26
196,127,630,157,1800,2018-04-26 10:54:45
197,129,558,213,3100,2018-01-22 13:09:52
198,160,436,124,2900,2017-04-10 11:15:50
199,20,408,93,3200,2019-03-24 13:05:29
