QUANTITYORDERED,SELLINGPRICE,SALES,ORDERDATE,STATUS,PRODUCTLINE,ACTUALPRICE,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE
30,95.7,2871.0,2/24/2003 0:00,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,USA,Small
34,81.35,2765.9,5/7/2003 0:00,Shipped,Motorcycles,95,S10_1678,Reims Collectables,Reims,France,Small
41,94.74,3884.34,7/1/2003 0:00,Shipped,Motorcycles,95,S10_1678,Lyon Souveniers,Paris,France,Medium
45,83.26,3746.7,8/25/2003 0:00,Shipped,Motorcycles,95,S10_1678,Toys4GrownUps.com,Pasadena,USA,Medium
49,100.0,5205.27,10/10/2003 0:00,Shipped,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,San Francisco,USA,Medium
36,96.66,3479.76,10/28/2003 0:00,Shipped,Motorcycles,95,S10_1678,Technics Stores Inc.,Burlingame,USA,Medium
29,86.13,2497.77,11/11/2003 0:00,Shipped,Motorcycles,95,S10_1678,Daedalus Designs Imports,Lille,France,Small
48,100.0,5512.32,11/18/2003 0:00,Shipped,Motorcycles,95,S10_1678,Herkku Gifts,Bergen,Norway,Medium
22,98.57,2168.54,12/1/2003 0:00,Shipped,Motorcycles,95,S10_1678,Mini Wheels Co.,San Francisco,USA,Small
41,100.0,4708.44,1/15/2004 0:00,Shipped,Motorcycles,95,S10_1678,Auto Canal Petit,Paris,France,Medium
37,100.0,3965.66,2/20/2004 0:00,Shipped,Motorcycles,95,S10_1678,"Australian Collectors, Co.",Melbourne,Australia,Medium
23,100.0,2333.12,4/5/2004 0:00,Shipped,Motorcycles,95,S10_1678,Vitachrome Inc.,NYC,USA,Small
28,100.0,3188.64,5/18/2004 0:00,Shipped,Motorcycles,95,S10_1678,Tekni Collectables Inc.,Newark,USA,Medium
34,100.0,3676.76,6/28/2004 0:00,Shipped,Motorcycles,95,S10_1678,Gift Depot Inc.,Bridgewater,USA,Medium
45,92.83,4177.35,7/23/2004 0:00,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,Nantes,France,Medium
36,100.0,4099.68,8/27/2004 0:00,Shipped,Motorcycles,95,S10_1678,Marta's Replicas Co.,Cambridge,USA,Medium
23,100.0,2597.39,9/30/2004 0:00,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",Helsinki,Finland,Small
41,100.0,4394.38,10/15/2004 0:00,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,Stavern,Norway,Medium
46,94.74,4358.04,11/2/2004 0:00,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,Allentown,USA,Medium
42,100.0,4396.14,11/15/2004 0:00,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,USA,Medium
41,100.0,7737.93,11/24/2004 0:00,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,Salzburg,Austria,Large
20,72.55,1451.0,12/17/2004 0:00,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,Chatswood,Australia,Small
21,34.91,733.11,2/3/2005 0:00,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,Nantes,France,Small
42,76.36,3207.12,3/3/2005 0:00,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,New Bedford,USA,Medium
24,100.0,2434.56,4/8/2005 0:00,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",Liverpool,UK,Small
66,100.0,7516.08,5/13/2005 0:00,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,Madrid,Spain,Large
26,100.0,5404.62,1/29/2003 0:00,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,Stavern,Norway,Medium
29,100.0,7209.11,3/24/2003 0:00,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",Lule,Sweden,Large
38,100.0,7329.06,5/28/2003 0:00,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",Madrid,Spain,Large
37,100.0,7374.1,7/24/2003 0:00,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,Burlingame,USA,Large
45,100.0,10993.5,9/19/2003 0:00,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Singapore,Large
21,100.0,4860.24,10/20/2003 0:00,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,NYC,USA,Medium
34,100.0,8014.82,11/6/2003 0:00,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",South Brisbane,Australia,Large
23,100.0,5372.57,11/13/2003 0:00,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium
42,100.0,7290.36,11/25/2003 0:00,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",Lyon,France,Large
47,100.0,9064.89,12/5/2003 0:00,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,Vancouver,Canada,Large
35,100.0,6075.3,1/29/2004 0:00,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,Burbank,USA,Medium
29,100.0,6463.23,3/10/2004 0:00,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,Cambridge,USA,Medium
34,100.0,6120.34,5/4/2004 0:00,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,New Haven,USA,Medium
32,100.0,7680.64,6/15/2004 0:00,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",Minato-ku,Japan,Large
21,100.0,4905.39,7/19/2004 0:00,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,Chatswood,Australia,Medium
34,100.0,8014.82,8/17/2004 0:00,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,Torino,Italy,Large
37,100.0,7136.19,9/8/2004 0:00,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,Boras,Sweden,Large
47,100.0,10172.7,10/11/2004 0:00,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,Versailles,France,Large
48,100.0,11623.7,10/21/2004 0:00,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
40,100.0,6000.4,11/4/2004 0:00,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,Nashua,USA,Medium
26,100.0,3003.0,11/18/2004 0:00,Shipped,Classic Cars,214,S10_1949,Mini Wheels Co.,San Francisco,USA,Medium
30,100.0,3944.7,11/29/2004 0:00,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",Melbourne,Australia,Medium
32,100.0,5691.84,12/10/2004 0:00,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
41,100.0,4514.92,1/20/2005 0:00,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,Brickhaven,USA,Medium
36,100.0,8254.8,2/17/2005 0:00,Shipped,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,San Francisco,USA,Large
24,100.0,2416.56,3/9/2005 0:00,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",North Sydney,Australia,Small
23,100.0,4140.23,5/1/2005 0:00,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,Montreal,Canada,Medium
50,100.0,12001.0,5/31/2005 0:00,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,Madrid,Spain,Large
39,99.91,3896.49,2/24/2003 0:00,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,USA,Medium
29,96.34,2793.86,4/29/2003 0:00,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,Small
27,100.0,3307.77,7/1/2003 0:00,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,Paris,France,Medium
37,100.0,5192.95,8/25/2003 0:00,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,Pasadena,USA,Medium
37,100.0,5016.83,10/10/2003 0:00,Shipped,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,San Francisco,USA,Medium
27,100.0,3660.93,10/28/2003 0:00,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,Burlingame,USA,Medium
42,100.0,4695.6,11/11/2003 0:00,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,Lille,France,Medium
38,96.34,3660.92,11/18/2003 0:00,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,Bergen,Norway,Medium
24,100.0,3025.92,12/1/2003 0:00,Shipped,Motorcycles,118,S10_2016,Mini Wheels Co.,San Francisco,USA,Medium
23,100.0,3009.09,1/12/2004 0:00,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,Osaka,Japan,Medium
47,100.0,5422.39,2/20/2004 0:00,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,Medium
22,100.0,2852.08,4/3/2004 0:00,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,Philadelphia,USA,Small
44,100.0,5756.52,5/18/2004 0:00,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,Newark,USA,Medium
40,100.0,4472.0,6/28/2004 0:00,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,Bridgewater,USA,Medium
22,100.0,2904.44,7/23/2004 0:00,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,Nantes,France,Small
47,100.0,6484.59,8/27/2004 0:00,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,Cambridge,USA,Medium
39,96.34,3757.26,9/27/2004 0:00,Shipped,Motorcycles,118,S10_2016,Atelier graphique,Nantes,France,Medium
34,100.0,4043.96,10/15/2004 0:00,Shipped,Motorcycles,118,S10_2016,Mini Classics,White Plains,USA,Medium
45,100.0,5566.5,11/2/2004 0:00,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,Allentown,USA,Medium
20,100.0,3176.0,11/15/2004 0:00,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,USA,Medium
40,68.92,2756.8,11/23/2004 0:00,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small
26,51.15,1329.9,12/17/2004 0:00,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,Chatswood,Australia,Small
39,100.0,5288.01,2/2/2005 0:00,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",South Brisbane,Australia,Medium
50,44.51,2225.5,3/3/2005 0:00,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,New Bedford,USA,Small
